======================================================================
PART (i): Training ResNet-18 from scratch on CIFAR-10
Epochs=80  LR=0.1  Batch=128
Target: >= 72% test accuracy
======================================================================
 Epoch | Train_Loss Train_Acc% |   Val_Loss   Val_Acc% | Note
----------------------------------------------------------------------
     1 |     2.3360     19.19% |     1.7928     30.88% | <-- best
     2 |     1.6637     37.06% |     1.5569     42.67% | <-- best
     3 |     1.3817     49.20% |     1.3981     50.42% | <-- best
     4 |     1.1482     58.89% |     1.1587     58.44% | <-- best
     5 |     0.9734     65.32% |     1.0480     64.52% | <-- best
     6 |     0.8272     70.76% |     1.0211     66.26% | <-- best
     7 |     0.7174     74.80% |     0.8709     71.16% | <-- best
     8 |     0.6414     77.75% |     0.8861     70.05% | 
     9 |     0.5882     79.70% |     0.8635     71.41% | <-- best
    10 |     0.5483     81.08% |     0.7184     76.04% | <-- best
    11 |     0.5189     82.22% |     0.6277     78.79% | <-- best
    12 |     0.4961     82.98% |     0.5517     81.80% | <-- best
    13 |     0.4749     83.60% |     0.5410     81.22% | 
    14 |     0.4531     84.40% |     0.5399     81.69% | 
    15 |     0.4403     84.90% |     0.5055     83.02% | <-- best
    16 |     0.4225     85.53% |     0.6924     78.48% | 
    17 |     0.4181     85.66% |     0.5325     81.62% | 
    18 |     0.3926     86.48% |     0.4903     84.30% | <-- best
    19 |     0.3927     86.63% |     0.5986     81.03% | 
    20 |     0.3793     86.97% |     0.5719     80.96% | 
    21 |     0.3739     87.25% |     0.4385     85.21% | <-- best
    22 |     0.3594     87.62% |     0.5798     80.52% | 
    23 |     0.3536     87.97% |     0.4218     85.75% | <-- best
    24 |     0.3418     88.28% |     0.5846     82.11% | 
    25 |     0.3374     88.51% |     0.7116     78.05% | 
    26 |     0.3291     88.90% |     0.4929     84.46% | 
    27 |     0.3181     89.14% |     0.4149     85.95% | <-- best
    28 |     0.3145     89.21% |     0.4166     86.27% | <-- best
    29 |     0.3060     89.55% |     0.4566     85.52% | 
    30 |     0.3026     89.64% |     0.5212     83.26% | 
    31 |     0.2939     89.84% |     0.4627     85.34% | 
    32 |     0.2855     90.19% |     0.4261     85.68% | 
    33 |     0.2809     90.38% |     0.5196     83.38% | 
    34 |     0.2711     90.63% |     0.4504     85.62% | 
    35 |     0.2621     91.02% |     0.5043     84.03% | 
    36 |     0.2592     91.09% |     0.3936     87.39% | <-- best
    37 |     0.2507     91.37% |     0.3991     87.12% | 
    38 |     0.2446     91.68% |     0.4749     84.73% | 
    39 |     0.2355     91.98% |     0.4545     84.98% | 
    40 |     0.2260     92.29% |     0.3451     88.93% | <-- best
    41 |     0.2188     92.54% |     0.3891     87.16% | 
    42 |     0.2070     92.90% |     0.4366     85.68% | 
    43 |     0.2083     92.94% |     0.4022     87.10% | 
    44 |     0.1978     93.30% |     0.3815     87.28% | 
    45 |     0.1925     93.38% |     0.3834     87.74% | 
    46 |     0.1828     93.74% |     0.3198     89.68% | <-- best
    47 |     0.1734     94.06% |     0.3561     88.40% | 
    48 |     0.1682     94.42% |     0.3159     89.84% | <-- best
    49 |     0.1552     94.66% |     0.3240     89.70% | 
    50 |     0.1518     94.76% |     0.2910     90.51% | <-- best
    51 |     0.1391     95.07% |     0.3832     88.44% | 
    52 |     0.1303     95.51% |     0.3157     89.99% | 
    53 |     0.1247     95.73% |     0.3013     91.19% | <-- best
    54 |     0.1120     96.16% |     0.3150     90.36% | 
    55 |     0.1071     96.45% |     0.2669     91.84% | <-- best
    56 |     0.0962     96.77% |     0.2985     91.13% | 
    57 |     0.0853     97.17% |     0.2771     91.92% | <-- best
    58 |     0.0806     97.32% |     0.2876     91.43% | 
    59 |     0.0712     97.51% |     0.2779     91.51% | 
    60 |     0.0614     97.95% |     0.2481     92.68% | <-- best
    61 |     0.0539     98.22% |     0.2751     92.45% | 
    62 |     0.0454     98.49% |     0.2534     92.90% | <-- best
    63 |     0.0371     98.79% |     0.2370     93.02% | <-- best
    64 |     0.0306     99.06% |     0.2340     93.29% | <-- best
    65 |     0.0247     99.26% |     0.2373     93.70% | <-- best
    66 |     0.0178     99.49% |     0.2293     93.74% | <-- best
    67 |     0.0166     99.51% |     0.2287     93.77% | <-- best
    68 |     0.0114     99.72% |     0.2418     93.83% | <-- best
    69 |     0.0091     99.79% |     0.2220     94.12% | <-- best
    70 |     0.0074     99.86% |     0.2142     94.35% | <-- best
    71 |     0.0065     99.88% |     0.2129     94.43% | <-- best
    72 |     0.0054     99.91% |     0.2126     94.37% | 
    73 |     0.0045     99.93% |     0.2087     94.53% | <-- best
    74 |     0.0041     99.93% |     0.2135     94.41% | 
    75 |     0.0039     99.95% |     0.2097     94.59% | <-- best
    76 |     0.0036     99.96% |     0.2079     94.63% | <-- best
    77 |     0.0035     99.96% |     0.2071     94.61% | 
    78 |     0.0035     99.95% |     0.2070     94.68% | <-- best
    79 |     0.0032     99.97% |     0.2069     94.60% | 
    80 |     0.0033     99.96% |     0.2059     94.62% | 
======================================================================
Best Val Accuracy : 94.68%
PASS
Checkpoint: ./weights/resnet18_cifar10_best.pt
Log file  : ./logs/resnet18_train.log
